ward_off_by_earnest_prayer	deprecor
surpassing	excellens
reduce	recido
cut_away	recido
consecrate	sancio
shrine	sacrarium
token	specimen
means_of_seeing_or_knowing	specimen
pertaining_four_horse_team	quadriiugus
pour	profundo
pour_forth	profundo
juturna	iuturna
rest	reclino
recline	reclino
armed_with_the_javelin	pilatus
laurel	verbena
flax_or_hemp	linum
measure	dimetior
exalted	elatus
high	elatus
prepare_for	proludo
play_or_practice_beforehand	proludo
myrrh	murra
gum_of_the_myrrh_tree	murra
the_myrrh_tree	murra
summons	vocatus
calling	vocatus
brass	orichalcum
mountain_copper	orichalcum
surpass	anteeo
go_before	anteeo
orithyia	orithyia
idmon	idmon
rose	rosa
make_hot	calefacio
redness	rubor
tilt	inclino
bend	inclino
influence	inclino
within_one's_power	penes
heal	medeor
become_sick	aegresco
not_at_all	haudquaquam
by_no_means_whatever	haudquaquam
disprove	refuto
repel	refuto
receive	adscio
ally	adscio
white	albeo
warm_or_hot	recaleo
composed	sedatus
renegade	desertor
one_who_has_deserted	desertor
grow	glisco
robber	latro
unappeasable	implacabilis
encamp_around	vallo
surround_with_rampart	vallo
dash	arieto
stumble	arieto
strike	arieto
galloping	quadrupedus
going_on_four_feet	quadrupedus
atinas	atinas
dercennus	dercennus
maltreat	mulco
beat	mulco
acca	acca
hide	remulceo
fondle	remulceo
stroke_back	remulceo
breast	papilla
nipple	papilla
of_linen	carbaseus
metal_helmet	cassis
cretan	gortynius
gortynian	gortynius
of_gortyn	gortynius
foreign	peregrinus
chloreus	chloreus
wherever	quacumque
by_whatever_way	quacumque
go_around	circumeo
arruns	arruns
maeonidae	maeonidae
example	exemplum
sample	exemplum
sinuous	sinuosus
full_of_windings	sinuosus
eagle	aquila
fight_against	repugno
break_off	defringo
opposed	adversus
against	adversus
opposite	adversus
facing	adversus
want_of_spirit	ignavia
disembowel	eviscero
hawk	accipiter
fly_away	avolo
aunus	aunus
appenninicola	appenninicola
redouble	congemino
mock	eludo
disprove	redarguo
feminine	muliebris
female	muliebris
of_or_belonging_woman	muliebris
rustic_weapon_having_an_iron_head_with_projecting_hook_or_blade	sparus
adjectively	pugnator
fighter	pugnator
huntsman	venator
ornytus	ornytus
chromis	chromis
demophoon	demophoon
harpalycus	harpalycus
tereus	tereus
hippotades	hippotades
amastrus	amastrus
pagasus	pagasus
liris	liris
euneus	euneus
hippolyte	hippolyte
thermodon	thermodon
attendant	ministra
servant	ministra
italian_women_or_nymphs	italides
tarpeia	tarpeia
tulla	tulla
larina	larina
unwearied	indefessus
wearing_quiver	pharetratus
amazon	amazon
herminius	herminius
iollas	iollas
leg	crus
shin	crus
unable_tolerate	impatiens
impatient	impatiens
orsilochus	orsilochus
suck_back	resorbeo
overcast	superiacio
throw_above_or_over	superiacio
aconteus	aconteus
tyrrhenus	tyrrhenus
cover	obtexo
weave_over	obtexo
reach	iactus
shot	iactus
leap	iactus
cast	iactus
precisely	numero
upon	inspoliatus
not_despoiled	inspoliatus
virginity	virginitas
swan	olor
lip	labrum
milk_into	immulgeo
of_the_herd	armentalis
fierceness	feritas
tie_or_bind_round_or_to	circumligo
book	liber
full	abundans
overflowing	abundans
casmilla	casmilla
metabus	metabus
privernum	privernum
delight	dulcedo
sweetness	dulcedo
latonia	latonia
opis	opis
recantation	receptus
retraction	receptus
level_surface	planities
fit	accommodus
the_winding_of_way_in_and_out	anfractus
breaking_round	anfractus
hollow	convexus
scout	explorator
luxuriant	luxurio
mare	equa
protector	praeses
perfume	vaporo
fumigate	vaporo
send_out_steam	vaporo
matron	matrona
dig_before_or_in_front_of	praefodio
company	manipulus
an_infantry_unit	manipulus
volusus	volusus
chirping	loquax
talkative	loquax
padusa	padusa
disagreement	dissensus
blessing	bonum
good	bonum
good_thing	bonum
tolumnius	tolumnius
solid_ground	solidum
bite	mordeo

going_back	regressus
embitter	acerbo
aufidus	aufidus
adriatic	hadriacus
deservedly	merito
eloquence	eloquium
just_as	proinde
hold_at_bay	distineo
unlamented	infletus
cheap	vilis
make_solitary	desolo
inviolable	inviolabilis
violence	violentia
mutter	musso
speak_low	musso
fame	nobilitas
weak	futilis
vain	futilis
chair_of_state	sella
chair	sella
seat	sella
material	materies
call_aid	adscisco
ally	adscisco
adopt	adscisco
troublesome	importunus
resemble	assideo
watch_over	assideo
sit_by	assideo
address_first	praefor
roaring	fremor
beware	caveo
greece	graecia
grasp	appeto
make_for	appeto
tearful	lacrimosus
dreadful	horribilis
mycenaean	mycenaeus
of_mycenae	mycenaeus
in_exile	exsulo
quite_to	ad_usque
proteus	proteus
caphereus	caphareus
draw_or_bring_to	attraho
garganus	garganus
argyripa	argyripa
outlay	impensa
darken	obumbro
overshadow	obumbro
aggravate	ingravo
make_heavy	ingravo
bereft	orbus
opulent	praedives
wealthy	praedives
bury	infodio
dig_in	infodio
invert	inverto
turn_over	inverto
funeral_pile	bustum
the_mound_where_the_dead_have_been_burned	bustum
slay	iugulo
cut_the_throat	iugulo
untimely	immaturus
remaining_alive_after_death	superstes
surviving	superstes
first_lesson	rudimentum
beginning	rudimentum
very_sweet	perdulcis
prudent	cautus
careful	cautus
cautious	cautus
beat	plango
make_distinct	discrimino
separate	discrimino
of_omen	praenuntius
foreboding	praenuntius
cart	plaustrum
an_ash_tree	fraxinus
two_edged	bipennis
two_winged	bipennis
sequestrpace	sequester
one_with_whom_something_is_placed_in_trust	sequester
drances	drances
limit	finio
finish	finio
refuse	aspernor
repel	aspernor
slight	aspernor
an_olive	olea
aethon	aethon
cover_up	obnubo
hyacinth	hyacinthus
violet	viola
big_toe	pollex
thumb	pollex
cut_off	demeto
reap	demeto
couch	stramen
something_spread_out	stramen
shade	inumbro
overshadow	inumbro
cast_shade_upon	inumbro
covering	obtentus
spreading_over	obtentus
oaken	quernus
of_the_arbutus	arbuteus
present	intersum
between	intersum
protection	praesidium
shameful	pudendus
that_one_should_ashamed_of	pudendus
equally	aeque
acoetes	acoetes
anticipate	praesumo
take_beforehand	praesumo
first_offerings	primitiae
the_first_fruits	primitiae
dig_or_pierce_through	perfodio
powerful_in_war	bellipotens
having_common_lot	consors
with_head_or_face_prone_downward	cernuus
ride	equito
horseman	equito
hairy	hirsutus
rough	hirsutus
accustomed_to	consuesco
accustom	consuesco
rhaebus	rhaebus
disfigure	deformo
hanging_down	propexus
leaning_on_or_against	acclinis
hair	capillus
soil	turpo
make_indecent	turpo
uplift	sublevo
lift_from_beneath	sublevo
genius	indoles
natural_disposition	indoles
that_which_is_bred_within	indoles
weave	neo
spin	neo
thunder_loudly	detono
it_is_raining	pluit
ploughman	arator
impede	inligo
attach_to	inligo
bind_on	inligo
famed	memorandus
worthy_of_mention	memorandus
recall	reminiscor
call_mind	reminiscor
antores	antores
vow	voveo
undaunted	imperterritus
nealces	nealces
thronius	thronius
valerus	valerus
agis	agis
ericetes	ericetes
of_or_descended_from_lycaon	lycaonius
of_lycaoni	lycaonius
orses	orses
very_hard	praedurus
rapo	rapo
parthenius	parthenius
hydaspes	hydaspes
sacrator	sacrator
alcathous	alcathous
throw_down/away	abicio
orodes	orodes
make_bloody	cruento
kind_of_wild_goat	caprea
acron	acron
shake_off	decutio
grow_angry	irascor
rage	infremo
bellow	infremo
reedy	harundineus
vesulus	vesulus
theano	theano
mimas	mimas
euanthes	euanthes
palmus	palmus
latagus	latagus
dolichaon	dolichaon
disgrace	dedecus
shame	dedecus
on_high	sublime
loftily	sublime
pass_over	transilio
leap_over	transilio
osinius	osinius
of_clusium	clusinus
mound	crepido
base	crepido
counterfeit	adsimulo
make_like	adsimulo
words	orsa
weeping	adlacrimans
immediate	instans
present	instans
daunus	daunus
leap	salio
the_groin	inguen
fury	fervor
lucagus	lucagus
four_yoked	quadriiugis
niphaeus	niphaeus
become_warm	intepeo
aegaean	aegaeon
amyclae	amyclae
ausonides	ausonides
of_camerinum	camers
lucas	lucas
antaeus	antaeus
fish	piscis
there	istic
roll_forward_or_along	provolvo
dryope	dryope
an_inhabitant_of_the_woods	silvicola
tarquitus	tarquitus
perhaps	fortasse
anxur	anxur
memorial_of_the_turning	tropaeum
stand_over	supersto
haemonides	haemonides
negotiation	commercium
trade	commercium
dig_down	defodio
fly_over_or_above	supervolo
quivering	tremebundus
cunning	astus
magus	magus
immolate	immolo
sprinkle_the_sacred_meal_upon_the_victim	immolo
bring_up_educate	educo
eurytides	eurytides
clonus	clonus
bestow	largior
give_largely	largior
stand_at	adsisto
fall_down	corruo
fall_completely	corruo
bore_or_pierce_through	perforo
piercing	penetrabilis
irrecoverable	inreparabilis
within_reach	contiguus
near	contiguus
fly_to	advolo
alight_from	desilio
leap_or_spring_down	desilio
savage	trux
going_away	abscessus
beholder	spectator

discordant_in_sound	discrepo
make_compact	addenseo
undestroyed	imperditus
destroy	interimo
terrify	perterreo
unarmed	inermus
imaon	imaon
hurled	missilis
the_throat	iugulum
the_joining_part	iugulum
strymonius	strymonius
demodocus	demodocus
pheres	pheres
ladon	ladon
tyres	tyres
teuthras	teuthras
intercept	intercipio
catch_thing_passing_along	intercipio
rhoeteus	rhoeteus
yoked_two_together	biiugis
cut	decido
evandrian	evandrius
of_evander	evandrius
unseparated	indiscretus
thymber	thymber
larides	larides
of_daucus	daucius
anchemolus	anchemolus
sthenius	sthenius
comrade	sodalis
hisbo	hisbo
recover	recepto
take_back_or_out	recepto
lagus	lagus
nature	natura
unmounted	pedester
pedestrian	pedester
overthrow	diruo
thicket	arbustum
grove	arbustum
growth_of_trees	arbustum
ismar	ismara
from_afar	eminus
dryops	dryops
strict	rigidus
rigid	rigidus
hard	rigidus
graze	perstringo
bind_tightly	perstringo
thigh	femur
direction	tenor
course	tenor
maeon	maeon
pierce_through	transverbero
beat_or_strike_through	transverbero
turn_aside	deflecto
partly	partim
pressing_on	stipatus
cydon	cydon
down	lanugo
soft_hair	lanugo
pharon	pharon
melampus	melampus
club	clava
cut_out	exseco
lichas	lichas
sew	suo
theron	theron
kill	occido
knock_down	occido
retreat	relabor
slip_back	relabor
support	sustento
strike	infligo
dry_ground	siccum
unhindered	inoffensus
resound	remurmuro
give_back_murmur	remurmuro
faint	langueo
trust	concredo
break	perfringo
make_sad	contristo
sirian	sirius
of_the_dog_star	sirius
mournfully	lugubre
comet	cometes
crane	grus
of_the_strymon	strymonius
strymonian	strymonius
repair	reficio
paddle	subremigo
row_lightly	subremigo
stand_out	emineo
cybele	cybele
phoebe	phoebe
nightly	noctivagus
help	subsidium
murmur	murmuro
hairy	hispidus
shaggy	hispidus
aulestes	aulestes
mincius	mincius
benacus	benacus
500th	quingenti
500	quingenti
4_each	quaterni
mantu	mantua
manto	manto
ocnus	ocnus
push_forward	promoveo
move_forward	promoveo
cycnus	cycnus
of_the_swan	olorinus
cupavo	cupavo
cinyrus	cinyrus
ligurian	ligus
graviscae	graviscae
pyrgi	pyrgi
minio	minio
of_caere	caeres
of_various_colors	versicolor
astur	astur
pisae	pisae
alphean	alpheus
of_the_alpheus	alpheus
prophetic	praesagus
unexhausted	inexhaustus
300th	trecenti
300	trecenti
ilv	ilva
populonia	populonia
600th	sescenti
600	sescenti
quiver	gorytus
cosa	cosa
clusium	clusium
of_campania	campanus
pactolus	pactolus
eminent	generosus
noble	generosus
_of_noble_birth	generosus
an_arrow	calamus
reed_or_cane	calamus
ismarus	ismarus
kind_of_ebony	terebinthus
the_turpentine_tree	terebinthus
of_oricus_or_oricum	oricius
decent	honestus
honorable	honestus
mnestheus	menestheus
acmon	acmon
lyrnesian	lyrnesius
of_lyrnesus	lyrnesius
thaemon	thaemon
clarus	clarus
thymbris	thymbris
castor	castor
of_hicetaeon	hicetaonius
imbrasides	imbrasides
asius	asius
enterprise	exorsum
thing_begun_or_undertaken	exorsum
become_silent	silesco
quarrel	iurgium
altercation	iurgium
adulterer	adulter
perishing	fluxus
flowing_away	fluxus
draw	obtendo
stretch_before	obtendo
bride	pacta
one_contracted_for	pacta
venilia	venilia
amathus	amathus
truly	sane
certainly	sane
untried	intentatus
fault	peccatum
arpi	arpi
aetolian	aetolus
overflow	inundo
the_alps	alpes
prohibition	vetitum
that_which_is_forbidden	vetitum
breathe	respiro
breathe_again	respiro
shake_off	discutio
jingling	tinnitus
unhastened	improperatus
cretheus	cretheus
clytius	clytius
ravager	vastator
sword	gladius
lynceus	lynceus
prytanis	prytanis
noemon	noemon
halius	halius
alcander	alcander
halys	halys
say_over_and_over	ingero
obtrude	ingero
heap_on	ingero
carry	ingero
gyges	gyges
hamstring	poples
the_hinder_part_of_the_knee	poples
phaleris	phaleris
uncultivated	rudis
leave_uncovered	excludo
exclude	excludo
shut_out	excludo
warrior	bellator
inarime	inarime
prochyt	prochyta
pile_together	construo
mole	pila
pier	pila
baiae	baiae
faithful	fidelis
fiery_dart	phalarica
heavy_spear_wound_with_combustibles	phalarica
loudly	magnum
largely	magnum
aphidnus	aphidnus
erymas	erymas
merops	merops
grow_warm	tepesco
lungs	pulmo
lung	pulmo
chest	stomachus
the_gullet	stomachus
lance_or_javelin	cornus
spear_shaft	cornus
cornel_cherry_tree	cornus
of_or_from_thebes	thebanus
theban	thebanus
antiphates	antiphates
incite	concieo
call_together	concieo
supply	praebeo
the_same_place	eodem
the_same_place	eodem
haemon	haemon
tmarus	tmarus
aquicolus	aquicolus
quercens	quercens
athesis	athesis
the_river_po	padus
iaera	iaera
alcanor	alcanor
penalty	multa
the_kids	haedus
causing_rain	pluvialis
striking	flictus
thong_attached_the_shaft_of_javelin_or_other_missile	amentum
son_of_aeneus_or_aeneas	aenides
justly	iure
rightly	iure
honored	mactus
pertaining_horses	equinus
drum	tympanum
pipe_or_flute	tibia
the_larger_of_the_shinbones	tibia
having_two_doors_or_openings	biforis
dindyma	dindyma
chaplet	redimiculum
something_bound_round	redimiculum
inactivity	desidia
idleness	desidia
saffron_color	crocum
saffron	crocum
bring_together	comporto
weaken	debilito
awake	invigilo
one_who_molds	fictor
numanus	numanus
swift_in_flight	fugax
split	diffindo
cleave_asunder	diffindo
sling	funda
palici	palici
of_symaethum	symaethius
_an_iberian_of_the_caucusus	hiberus
iberian_of_spain	hiberus
dusky_or_brown_tint	ferrugo
the_color_of_iron_rust	ferrugo
iron_rust	ferrugo
needle	acus
hairpin	acus
arcens	arcens
of_the_lungs	spiramentum
means_of_breathing	spiramentum
themillas	themillas
privernus	privernus
idas	idas
promolus	promolus
dioxippus	dioxippus
clonius	clonius
itys	itys
ortygius	ortygius
asilas	asilas
liger	liger
emathion	emathion
lucetius	lucetius
piece_broken_off	fragmen
fracture	fragmen
pleasantness	lepor
without_glory	inglorius
licymnia	licymnia
helenor	helenor
run_through	transfodio
dig_through	transfodio
consume	adedo
capture	expugno
assault	expugno
calliope	calliope
_gifts_thrown_crowd	missile
projectile	missile
missile	missile
open	interluceo
give_light_through	interluceo
actor	actor
numb	torpeo
hastening	festinus
that_which_makes_known	nuntius
announcing	nuntius
winged	pennatus
very_much	nimis
numa	numa
dwell_near_or_by	accolo
stab	confodio
whirl_about	roto
move_like_wheel	roto
push	proturbo
vexed	gravor
burdened	gravor
rain	pluvia
become_faint	languesco
cut	succido
cut_beneath	succido
sink_down	recumbo
lie_down_again	recumbo
drive_through	transadigo
tagus	tagus
gasp	singultus
sulmo	sulmo
cupola	tholus
hyrtacus	hyrtacus
latonian	latonius
of_latona	latonius
much_entangled	perplexus
not_seeing_or_knowing_beforehand	imprudens
parting	divortium
separation	divortium
lurid	sublustris
faintly_gleaming	sublustris
volcens	volcens
armed_with_shield	scutatus
caedicus	caedicus
distant	absens
absent	absens
remulus	remulus
of_tibur	tiburs
boss	bulla
amulet	bulla
locket	bulla
bubble	bulla
complete	perfectus
excessive	nimius
abaris	abaris
rhoetus	rhoetus
herbesus	herbesus
fadus	fadus
common_people	plebs
rave	perfuro
rage_wildly	perfuro
mute	mutus
inarticulate	mutus
insane	vesanus
unfed	impastus
lamus	lamus
lamyrus	lamyrus

make_tepid_or_warm	tepefacio
sob	singulto
rashly	temere
breathe_forth_noisily	proflo
blow	proflo
rhamnes	rhamnes
pluck_asunder	discerpo
foremost	primoris
first	primoris
exchange	permuto
lycaon	lycaon
weep	inlacrimo
not_saluted	insalutatus
dissimilar	dissimilis
6th	sex
6	sex
red	rubeo
arisba	arisba
conquer_completely	devinco
immediately	actutum
promptly	actutum
destroy	deleo
leading_two_ways	bivius
immediately	confestim
pursue	persequor
sacrifices/rites_in_honor_of_the_dead	inferiae
buy	emo
free_from_roughness	erudio
train	erudio
instruct	erudio
opheltes	opheltes
pertaining_pallanteum	pallanteus
summon	accio
unshorn	intonsus
unshaven	intonsus
on_guard	excubo
lie_out	excubo
without_sleep	insomnis
adorn_with_various_colors	vario
diversify	vario
vary	vario
100_each	centeni
set_before	obsido
refresh	procuro
attend_to	procuro
care_for	procuro
get_ready	apparo
injure	pecco
commit_wrong	pecco
fertile	fertilis
productive	fertilis
in_view_of	prae
in_the_face_of	prae
before	prae
plunge	demergo
dip	demergo
shine_against	offulgeo
pitch	pix
galatea	galatea
doto	doto
nereian	nereius
of_nereus	nereius
heavens	mundus
universe	mundus
world	mundus
disquieted	anxius
troubled	anxius
shape	formo
form	formo
lasting_throughout_the_year	perennis
protection	praesentia
presence	praesentia
fortification	vallum
fired	ignesco
take_fire	ignesco
bleating	balatus
endure	perpetior
bear_the_end	perpetior
an_opening	caulae
sheepcote	ovile
ambush	insidior
swing_or_hurl	attorqueo
ganges	ganges
soothe	sedo
etruscan	lydus
lydian	lydus
dwelling_on_the_palatine_hill	palatinus
belonging_to	palatinus
thaumantias	thaumantias
pilumnus	pilumnus
araxes	araxes
dahae	dahae
two_horned	bicornis
rhine	rhenus
people_of_belgic_gaul	morinus
of_or_from_the_morini	morinus
euphrates	euphrates
gelonian_or_scythian	gelonus
arrow_bearing	sagittifer
of_cariin_the_southwestern_part_of_asiminor	car
carian	car
leleges	leleges
an_inhabitant_of_africa	afer
african	afer
mulciber	mulciber
ungird	discingo
examine	recognosco
iapyx	iapyx
arab	arabs
anubis	anubis
barker	latrator
one_who_barks_like_dog	latrator
of_every_kind	omnigenus
of_all_sorts	omnigenus
metallic_rattle	sistrum
egyptian	aegyptius
bactra	bactra
egypt	aegyptos
red	ruber
antonius	antonius
beaked	rostratus
agrippa	agrippa
overhanging	minax
projecting	minax
catilina	catilina
chariot	pilentum
beat_out	extundo
luperci	luperci
gallic_javelin	gaesum
milky	lacteus
soldier's_cloak	sagulum
made_of_twigs	virgatus
goose	anser
_silver	argenteus
stalk	culmus
manlius	manlius
cloelia	cloelia
cocles	cocles
bridge	pons
porsenn	porsenna
thorn	vepres
mettus	mettus
sow	porca
pig	porca
tatius	tatius
romans	romulidae
descendants_or_people_of_romulus	romulidae
games_in_the_circus	circensis
not_afraid	impavidus
texture	textum
that_which_is_woven_or_plaited	textum
that_can_expressed	enarrabilis
become_glowing	inardesco
take_fire	inardesco
fatal	fatifer
separate	secerno
tepid	egelidus
lukewarm	egelidus
silvanus	silvanus
caere	caere
hoof	ungula
foul_smelling	putris
fetid	putris
going_on_four_feet	quadrupedans
dusty	pulvereus
cavalry	equitatus
wound	vulnero
who_or_what_you_please	quivis
deprive	viduo
erulus	erulus
unsatisfied	inexpletus
double	duplico
fold_over	duplico
shine_or_glitter_at_the_end	praefulgeo
an_announcement	nuntium
yesterday's	hesternus
of_yesterday	hesternus
surely	profecto
gleam	rutilo
redden	rutilo
dry	sudus
unexpectedly	improviso
military_service	militia
frost	gelu
tarcho	tarcho
fasten	subiungo
join_under_or_to	subiungo
maeonia	maeonia
diviner	haruspex
an_inspector_of_entrails	haruspex
present	praesum
before	praesum
tuscany	etruria
etruria	etruria
surround	circumsisto
kill	neco
torture	tormentum
dead	mortuus
tuscan	etruscus
etrurian	etruscus
raise_din_around	circumsono
sound_about	circumsono
etruscan	tuscus
tuscan	tuscus
etrurian	tuscus
saved	sospes
allowed	licitus
go_before	praecedo
bend_back	retorqueo
twist_back	retorqueo
panther	panthera
bind	subligo
bind_under	subligo
tunic	tunica
morning	matutinus
of_or_belonging_the_morning	matutinus
lemnius	lemnius
lump	massa
pair_of_tongs	forceps
the_bellows	follis
pair_of_bellows	follis
melt	liquesco
become_fluid_or_liquid	liquesco
steel	chalybs
wound_making	vulnificus
mistress	magistra
cut_off	deseco
fasten_together	conecto
fear_bringing	horrifer
red_and_gold	rutilus
unfinished	imperfectus
smooth	polio
mold	informo
impart_form_to	informo
pyracmon	pyracmon
steropes	steropes
brontes	brontes
pertaining_vulcan	vulcanius
chalybes	chalybes
mass_or_bar_of_hot_iron	strictura
lipare_or_lipar	lipare
skillfully_made	fabrilis
having_power_over_fire	ignipotens
allotment	pensum
wool	pensum
endure	tolero
career	curriculum
drive_off_or_away_from	abigo
doubt	indubito
mixed_metal_of_the_color_of_amber	electrum
amber	electrum
bind	devincio
bind_fast	devincio
of_tithonus	tithonius
born	natus
laurentes	laurentes
carinae	carinae
neat	lautus
washed	lautus
ianiculum	ianiculum
town	oppidum
the_goatskin_shield_of_jupiter_or_minerva	aegis
pastoral	silvestris
pertaining_the_woods	silvestris
capitoline	tarpeius
tarpeian	tarpeius
argiletum	argiletum
lycaean	lycaeus
of_lycaeus	lycaeus
pan	pan
of_parrhasia	parrhasius
lupercal	lupercal
of_carmentis	carmentalis
carmentis	carmentis
albula	albula
of_debased_color	decolor
worse	deterior
unteachable	indocilis
born_in_the_land	indigena
founder	conditor
throw_to	adicio
lernaean	lernaeus
of_lerna	lernaeus
typhoeus_or_typhon	typhoeus
nemea	nemea
pholus	pholus
hylaeus	hylaeus
having_two_types_of_limbs	bimembris
eurystheus	eurystheus
oechali	oechalia
salii	salii
charger	lanx
broad_dish_or_plate	lanx
declining	devexus
cup	scyphus
wreath_of_poplar	populus
poplar_tree	populus
of_pinarius	pinarius
potitius	potitius
half_wild	semifer
dead_body	cadaver
pillage	rapina
plundering	rapina
robbery	rapina
swear_off	abiuro
drag_away	abstraho
squeeze	ango
smoky	fumifer
vomit_out_or_up	evomo

millstone	molaris
uncover	detego
spring_back_or_apart	dissulto
leap_asunder	dissulto
impulse	impulsus
an_impelling	impulsus
convenient	opportunus
suitable	opportunus
abrupt	praecisus
rocky	saxeus
barrier	obex
an_obstacle	obex
make_strong	emunio
fortify	emunio
gall	fel
the_gall_bladder	fel
guard	custodio
departure	abitus
young	iuvencus
untried	intractatus
untouched	intractatus
at_length	aliquando
at_some_time	aliquando
reek	tepeo
moderately_warm	tepeo
cacus	cacus
half_man	semihomo
recess	recessus
superstition	superstitio
religious_awe	superstitio
expiatory	lustralis
hairy	villosus
shaggy	villosus
interweave	intertexo
pheneos	pheneos
desirous	cupidus
arcadia	arcadia
salamis	salamis
hesione	hesione
proved	spectatus
tested	spectatus
below	infra
wash_against	adluo
pertaining_daunus	daunius
contract_for	pango
agree_upon	pango
settle_for	pango
fix	pango
fasten	pango
approach	temptamentum
experiment	temptamentum
essay	temptamentum
trial	temptamentum
envoy	legatus
lieutenant	legatus
cyllene	cyllene
atlantis	atlantis
electra	electra
afraid	extimesco
cling_to	inhaereo
stick_to	inhaereo
peace_bringing	pacifer
hercules	amphitryoniades
son_of_amphitruo	amphitryoniades
the_act_of_bending_or_curling	flexus
wave	flexus
curl	flexus
oiled	unctus
anointed	unctus
toil	luctamen
striving	luctamen
ripe	mitis
mild	mitis
flow_back	refluo
lie_stretched_out	procubo
of_the_same_color	concolor
horned	corniger
detriment	incommodum
plowed_fields	culta
pallanteum	pallanteum
euander	evander
pallas	pallas
arcas	arcas
of_the_mind	tumor
swelling	tumor
carry	reveho
dark	umbrosus
shady	umbrosus
flit_around	pervolito
fly_about	pervolito
flash	radio
emit_rays_of_light	radio
reflect	repercutio
strike_back	repercutio
bowl	labrum
vat_or_tub	labrum
in_as_much_as	sicut
just_as	sicut
spread_abroad	increbresco
increase_more_and_more	increbresco
become_frequent	increbresco
venulus	venulus
worshipper	cultor
husbandman	cultor
conspire	coniuro
swear_together	coniuro
bind_together	internecto
gaze_at	prospecto
look_forth_upon	prospecto
look_forth	prospecto
workbasket	calathus
wicker_basket	calathus
distaff	colus
camilla	camilla
of_or_from_the_volscians	volscus
volscian	volscus
satura	satura
feronia	feronia
of_anxur	anxurus
of_or_from_the_labici	labicus
sacranus	sacranus
ancestors	veteres
the_ancients	veteres
close_up	denseo
thicken	denseo
make_thick	denseo
armed_with_shield	clipeatus
argus	argus
argument	argumentum
evidence	argumentum
proof	argumentum
plant_upon_or_over	obsero
adorn	insignio
decorate_with_mark	insignio
io	io
grow_fierce	crudesco
become_harsh	crudesco
blow_or_breathe_out	efflo
of_the_sea	marinus
send_away	relego
phoebigena	phoebigena
the_healing_art	medicina
inventor	repertor
discoverer	repertor
paeonius	paeonius
