ward_off_by_earnest_prayer	deprecor
furnish_with_bridle	infreno
bold	animosus
courageous	animosus
Gylippus	Gylippus
hissing	stridulus
conceal	obscuro
beautiful	excellens
surpassing	excellens
reduce	recido
cut_away	recido
consecrate	sancio
shrine	sacrarium
token	specimen
means_of_seeing_or_knowing	specimen
pertaining_four_horse_team	quadriiugus
pour	profundo
pour_forth	profundo
Juturna	Iuturna
rest	reclino
recline	reclino
armed_with_the_javelin	pilatus
laurel	verbena
flax_or_hemp	linum
measure	dimetior
exalted	elatus
high	elatus
prepare_for	proludo
play_or_practice_beforehand	proludo
myrrh	murra
gum_of_the_myrrh_tree	murra
the_myrrh_tree	murra
summons	vocatus
calling	vocatus
brass	orichalcum
mountain_copper	orichalcum
surpass	anteeo
go_before	anteeo
Orithyia	Orithyia
Idmon	Idmon
rose	rosa
make_hot	calefacio
redness	rubor
tilt	inclino
bend	inclino
influence	inclino
within_one's_power	penes
heal	medeor
become_sick	aegresco
not_at_all	haudquaquam
by_no_means_whatever	haudquaquam
disprove	refuto
repel	refuto
receive	adscio
ally	adscio
white	albeo
warm_or_hot	recaleo
composed	sedatus
renegade	desertor
one_who_has_deserted	desertor
grow	glisco
robber	latro
unappeasable	implacabilis
encamp_around	vallo
surround_with_rampart	vallo
dash	arieto
stumble	arieto
strike	arieto
galloping	quadrupedus
going_on_four_feet	quadrupedus
Atinas	Atinas
Dercennus	Dercennus
maltreat	mulco
beat	mulco
Acca	Acca
hide	remulceo
fondle	remulceo
stroke_back	remulceo
breast	papilla
nipple	papilla
of_linen	carbaseus
metal_helmet	cassis
Cretan	Gortynius
Gortynian	Gortynius
of_Gortyn	Gortynius
foreign	peregrinus
Chloreus	Chloreus
wherever	quacumque
by_whatever_way	quacumque
go_around	circumeo
Arruns	Arruns
Maeonidae	Maeonidae
example	exemplum
sample	exemplum
sinuous	sinuosus
full_of_windings	sinuosus
eagle	aquila
fight_against	repugno
break_off	defringo
opposed	adversus
against	adversus
opposite	adversus
facing	adversus
want_of_spirit	ignavia
disembowel	eviscero
hawk	accipiter
fly_away	avolo
Aunus	Aunus
Appenninicola	Appenninicola
redouble	congemino
mock	eludo
disprove	redarguo
feminine	muliebris
female	muliebris
of_or_belonging_woman	muliebris
rustic_weapon_having_an_iron_head_with_projecting_hook_or_blade	sparus
adjectively	pugnator
fighter	pugnator
huntsman	venator
Ornytus	Ornytus
Chromis	Chromis
Demophoon	Demophoon
Harpalycus	Harpalycus
Tereus	Tereus
Hippotades	Hippotades
Amastrus	Amastrus
Pagasus	Pagasus
Liris	Liris
Euneus	Euneus
Hippolyte	Hippolyte
Thermodon	Thermodon
attendant	ministra
servant	ministra
Italian_women_or_nymphs	Italides
Tarpeia	Tarpeia
Tulla	Tulla
Larina	Larina
unwearied	indefessus
wearing_quiver	pharetratus
Amazon	Amazon
Herminius	Herminius
Iollas	Iollas
leg	crus
shin	crus
unable_tolerate	impatiens
impatient	impatiens
Orsilochus	Orsilochus
suck_back	resorbeo
overcast	superiacio
throw_above_or_over	superiacio
Aconteus	Aconteus
Tyrrhenus	Tyrrhenus
cover	obtexo
weave_over	obtexo
reach	iactus
shot	iactus
leap	iactus
cast	iactus
precisely	numero
upon	inspoliatus
not_despoiled	inspoliatus
virginity	virginitas
swan	olor
lip	labrum
milk_into	immulgeo
of_the_herd	armentalis
fierceness	feritas
tie_or_bind_round_or_to	circumligo
book	liber
full	abundans
overflowing	abundans
Casmilla	Casmilla
Metabus	Metabus
Privernum	Privernum
delight	dulcedo
sweetness	dulcedo
Latonia	Latonia
Opis	Opis
recantation	receptus
retraction	receptus
level_surface	planities
fit	accommodus
the_winding_of_way_in_and_out	anfractus
breaking_round	anfractus
hollow	convexus
scout	explorator
luxuriant	luxurio
mare	equa
protector	praeses
perfume	vaporo
fumigate	vaporo
send_out_steam	vaporo
matron	matrona
dig_before_or_in_front_of	praefodio
company	manipulus
an_infantry_unit	manipulus
Volusus	Volusus
chirping	loquax
talkative	loquax
Padusa	Padusa
disagreement	dissensus
blessing	bonum
good	bonum
good_thing	bonum
Tolumnius	Tolumnius
solid_ground	solidum
bite	mordeo

going_back	regressus
embitter	acerbo
Aufidus	Aufidus
Adriatic	Hadriacus
deservedly	merito
eloquence	eloquium
just_as	proinde
hold_at_bay	distineo
unlamented	infletus
cheap	vilis
make_solitary	desolo
inviolable	inviolabilis
violence	violentia
mutter	musso
speak_low	musso
fame	nobilitas
weak	futilis
vain	futilis
chair_of_state	sella
chair	sella
seat	sella
material	materies
call_aid	adscisco
ally	adscisco
adopt	adscisco
troublesome	importunus
resemble	assideo
watch_over	assideo
sit_by	assideo
address_first	praefor
roaring	fremor
beware	caveo
Greece	Graecia
grasp	appeto
make_for	appeto
tearful	lacrimosus
dreadful	horribilis
Mycenaean	Mycenaeus
of_Mycenae	Mycenaeus
in_exile	exsulo
quite_to	ad_usque
Proteus	Proteus
Caphereus	Caphareus
draw_or_bring_to	attraho
Garganus	Garganus
Argyripa	Argyripa
outlay	impensa
darken	obumbro
overshadow	obumbro
aggravate	ingravo
make_heavy	ingravo
bereft	orbus
opulent	praedives
wealthy	praedives
bury	infodio
dig_in	infodio
invert	inverto
turn_over	inverto
funeral_pile	bustum
the_mound_where_the_dead_have_been_burned	bustum
slay	iugulo
cut_the_throat	iugulo
untimely	immaturus
remaining_alive_after_death	superstes
surviving	superstes
first_lesson	rudimentum
beginning	rudimentum
very_sweet	perdulcis
prudent	cautus
careful	cautus
cautious	cautus
beat	plango
make_distinct	discrimino
separate	discrimino
of_omen	praenuntius
foreboding	praenuntius
cart	plaustrum
an_ash_tree	fraxinus
two_edged	bipennis
two_winged	bipennis
sequestrpace	sequester
one_with_whom_something_is_placed_in_trust	sequester
Drances	Drances
limit	finio
finish	finio
refuse	aspernor
repel	aspernor
slight	aspernor
an_olive	olea
Aethon	Aethon
cover_up	obnubo
hyacinth	hyacinthus
violet	viola
big_toe	pollex
thumb	pollex
cut_off	demeto
reap	demeto
couch	stramen
something_spread_out	stramen
shade	inumbro
overshadow	inumbro
cast_shade_upon	inumbro
covering	obtentus
spreading_over	obtentus
oaken	quernus
of_the_arbutus	arbuteus
present	intersum
between	intersum
protection	praesidium
shameful	pudendus
that_one_should_ashamed_of	pudendus
equally	aeque
Acoetes	Acoetes
anticipate	praesumo
take_beforehand	praesumo
first_offerings	primitiae
the_first_fruits	primitiae
dig_or_pierce_through	perfodio
powerful_in_war	bellipotens
having_common_lot	consors
with_head_or_face_prone_downward	cernuus
ride	equito
horseman	equito
hairy	hirsutus
rough	hirsutus
accustomed_to	consuesco
accustom	consuesco
Rhaebus	Rhaebus
disfigure	deformo
hanging_down	propexus
leaning_on_or_against	acclinis
hair	capillus
soil	turpo
make_indecent	turpo
uplift	sublevo
lift_from_beneath	sublevo
genius	indoles
natural_disposition	indoles
that_which_is_bred_within	indoles
weave	neo
spin	neo
thunder_loudly	detono
it_is_raining	pluit
ploughman	arator
impede	inligo
attach_to	inligo
bind_on	inligo
famed	memorandus
worthy_of_mention	memorandus
recall	reminiscor
call_mind	reminiscor
Antores	Antores
vow	voveo
undaunted	imperterritus
Nealces	Nealces
Thronius	Thronius
Valerus	Valerus
Agis	Agis
Ericetes	Ericetes
of_or_descended_from_Lycaon	Lycaonius
of_Lycaoni	Lycaonius
Orses	Orses
very_hard	praedurus
Rapo	Rapo
Parthenius	Parthenius
Hydaspes	Hydaspes
Sacrator	Sacrator
Alcathous	Alcathous
throw_down/away	abicio
Orodes	Orodes
make_bloody	cruento
kind_of_wild_goat	caprea
Acron	Acron
shake_off	decutio
grow_angry	irascor
rage	infremo
bellow	infremo
reedy	harundineus
Vesulus	Vesulus
Theano	Theano
Mimas	Mimas
Euanthes	Euanthes
Palmus	Palmus
Latagus	Latagus
Dolichaon	Dolichaon
disgrace	dedecus
shame	dedecus
on_high	sublime
loftily	sublime
pass_over	transilio
leap_over	transilio
Osinius	Osinius
of_Clusium	Clusinus
mound	crepido
base	crepido
counterfeit	adsimulo
make_like	adsimulo
words	orsa
weeping	adlacrimans
immediate	instans
present	instans
Daunus	Daunus
leap	salio
the_groin	inguen
fury	fervor
Lucagus	Lucagus
four_yoked	quadriiugis
Niphaeus	Niphaeus
become_warm	intepeo
Aegaean	Aegaeon
Amyclae	Amyclae
Ausonides	Ausonides
of_Camerinum	Camers
Lucas	Lucas
Antaeus	Antaeus
fish	piscis
there	istic
roll_forward_or_along	provolvo
Dryope	Dryope
an_inhabitant_of_the_woods	silvicola
Tarquitus	Tarquitus
perhaps	fortasse
Anxur	Anxur
memorial_of_the_turning	tropaeum
stand_over	supersto
Haemonides	Haemonides
negotiation	commercium
trade	commercium
dig_down	defodio
fly_over_or_above	supervolo
quivering	tremebundus
cunning	astus
Magus	Magus
immolate	immolo
sprinkle_the_sacred_meal_upon_the_victim	immolo
bring_up_educate	educo
Eurytides	Eurytides
Clonus	Clonus
bestow	largior
give_largely	largior
stand_at	adsisto
fall_down	corruo
fall_completely	corruo
bore_or_pierce_through	perforo
piercing	penetrabilis
irrecoverable	inreparabilis
within_reach	contiguus
near	contiguus
fly_to	advolo
alight_from	desilio
leap_or_spring_down	desilio
savage	trux
going_away	abscessus
beholder	spectator

discordant_in_sound	discrepo
make_compact	addenseo
undestroyed	imperditus
destroy	interimo
terrify	perterreo
unarmed	inermus
Imaon	Imaon
hurled	missilis
the_throat	iugulum
the_joining_part	iugulum
Strymonius	Strymonius
Demodocus	Demodocus
Pheres	Pheres
Ladon	Ladon
Tyres	Tyres
Teuthras	Teuthras
intercept	intercipio
catch_thing_passing_along	intercipio
Rhoeteus	Rhoeteus
yoked_two_together	biiugis
cut	decido
Evandrian	Evandrius
of_Evander	Evandrius
unseparated	indiscretus
Thymber	Thymber
Larides	Larides
of_Daucus	Daucius
Anchemolus	Anchemolus
Sthenius	Sthenius
comrade	sodalis
Hisbo	Hisbo
recover	recepto
take_back_or_out	recepto
Lagus	Lagus
nature	natura
unmounted	pedester
pedestrian	pedester
overthrow	diruo
thicket	arbustum
grove	arbustum
growth_of_trees	arbustum
Ismar	Ismara
from_afar	eminus
Dryops	Dryops
strict	rigidus
rigid	rigidus
hard	rigidus
graze	perstringo
bind_tightly	perstringo
thigh	femur
direction	tenor
course	tenor
Maeon	Maeon
pierce_through	transverbero
beat_or_strike_through	transverbero
turn_aside	deflecto
partly	partim
pressing_on	stipatus
Cydon	Cydon
down	lanugo
soft_hair	lanugo
Pharon	Pharon
Melampus	Melampus
club	clava
cut_out	exseco
Lichas	Lichas
sew	suo
Theron	Theron
kill	occido
knock_down	occido
retreat	relabor
slip_back	relabor
support	sustento
strike	infligo
dry_ground	siccum
unhindered	inoffensus
resound	remurmuro
give_back_murmur	remurmuro
faint	langueo
trust	concredo
break	perfringo
make_sad	contristo
Sirian	Sirius
of_the_dog_star	Sirius
mournfully	lugubre
comet	cometes
crane	grus
of_the_Strymon	Strymonius
Strymonian	Strymonius
repair	reficio
paddle	subremigo
row_lightly	subremigo
stand_out	emineo
Cybele	Cybele
Phoebe	Phoebe
nightly	noctivagus
help	subsidium
murmur	murmuro
hairy	hispidus
shaggy	hispidus
Aulestes	Aulestes
Mincius	Mincius
Benacus	Benacus
500th	quingenti
500	quingenti
4_each	quaterni
Mantu	Mantua
Manto	Manto
Ocnus	Ocnus
push_forward	promoveo
move_forward	promoveo
Cycnus	Cycnus
of_the_swan	olorinus
Cupavo	Cupavo
Cinyrus	Cinyrus
Ligurian	Ligus
Graviscae	Graviscae
Pyrgi	Pyrgi
Minio	Minio
of_Caere	Caeres
of_various_colors	versicolor
Astur	Astur
Pisae	Pisae
Alphean	Alpheus
of_the_Alpheus	Alpheus
prophetic	praesagus
unexhausted	inexhaustus
300th	trecenti
300	trecenti
Ilv	Ilva
Populonia	Populonia
600th	sescenti
600	sescenti
quiver	gorytus
Cosa	Cosa
Clusium	Clusium
of_Campania	Campanus
Pactolus	Pactolus
eminent	generosus
noble	generosus
_of_noble_birth	generosus
an_arrow	calamus
reed_or_cane	calamus
Ismarus	Ismarus
kind_of_ebony	terebinthus
the_turpentine_tree	terebinthus
of_Oricus_or_Oricum	Oricius
decent	honestus
honorable	honestus
Mnestheus	Menestheus
Acmon	Acmon
Lyrnesian	Lyrnesius
of_Lyrnesus	Lyrnesius
Thaemon	Thaemon
Clarus	Clarus
Thymbris	Thymbris
Castor	Castor
of_Hicetaeon	Hicetaonius
Imbrasides	Imbrasides
Asius	Asius
enterprise	exorsum
thing_begun_or_undertaken	exorsum
become_silent	silesco
quarrel	iurgium
altercation	iurgium
adulterer	adulter
perishing	fluxus
flowing_away	fluxus
draw	obtendo
stretch_before	obtendo
bride	pacta
one_contracted_for	pacta
Venilia	Venilia
Amathus	Amathus
truly	sane
certainly	sane
untried	intentatus
fault	peccatum
Arpi	Arpi
Aetolian	Aetolus
overflow	inundo
the_Alps	Alpes
prohibition	vetitum
that_which_is_forbidden	vetitum
breathe	respiro
breathe_again	respiro
shake_off	discutio
jingling	tinnitus
unhastened	improperatus
Cretheus	Cretheus
Clytius	Clytius
ravager	vastator
sword	gladius
Lynceus	Lynceus
Prytanis	Prytanis
Noemon	Noemon
Halius	Halius
Alcander	Alcander
Halys	Halys
say_over_and_over	ingero
obtrude	ingero
heap_on	ingero
carry	ingero
Gyges	Gyges
hamstring	poples
the_hinder_part_of_the_knee	poples
Phaleris	Phaleris
uncultivated	rudis
leave_uncovered	excludo
exclude	excludo
shut_out	excludo
warrior	bellator
Inarime	Inarime
Prochyt	Prochyta
pile_together	construo
mole	pila
pier	pila
Baiae	Baiae
faithful	fidelis
fiery_dart	phalarica
heavy_spear_wound_with_combustibles	phalarica
loudly	magnum
largely	magnum
Aphidnus	Aphidnus
Erymas	Erymas
Merops	Merops
grow_warm	tepesco
lungs	pulmo
lung	pulmo
chest	stomachus
the_gullet	stomachus
lance_or_javelin	cornus
spear_shaft	cornus
cornel_cherry_tree	cornus
of_or_from_Thebes	Thebanus
Theban	Thebanus
Antiphates	Antiphates
incite	concieo
call_together	concieo
supply	praebeo
the_same_place	eodem
the_same_place	eodem
Haemon	Haemon
Tmarus	Tmarus
Aquicolus	Aquicolus
Quercens	Quercens
Athesis	Athesis
the_river_Po	Padus
Iaera	Iaera
Alcanor	Alcanor
penalty	multa
The_Kids	haedus
causing_rain	pluvialis
striking	flictus
thong_attached_the_shaft_of_javelin_or_other_missile	amentum
son_of_Aeneus_or_Aeneas	Aenides
justly	iure
rightly	iure
honored	mactus
pertaining_horses	equinus
drum	tympanum
pipe_or_flute	tibia
the_larger_of_the_shinbones	tibia
having_two_doors_or_openings	biforis
Dindyma	Dindyma
chaplet	redimiculum
something_bound_round	redimiculum
inactivity	desidia
idleness	desidia
saffron_color	crocum
saffron	crocum
bring_together	comporto
weaken	debilito
awake	invigilo
one_who_molds	fictor
Numanus	Numanus
swift_in_flight	fugax
split	diffindo
cleave_asunder	diffindo
sling	funda
Palici	Palici
of_Symaethum	Symaethius
_an_Iberian_of_the_Caucusus	Hiberus
Iberian_of_Spain	Hiberus
dusky_or_brown_tint	ferrugo
the_color_of_iron_rust	ferrugo
iron_rust	ferrugo
needle	acus
hairpin	acus
Arcens	Arcens
of_the_lungs	spiramentum
means_of_breathing	spiramentum
Themillas	Themillas
Privernus	Privernus
Idas	Idas
Promolus	Promolus
Dioxippus	Dioxippus
Clonius	Clonius
Itys	Itys
Ortygius	Ortygius
Asilas	Asilas
Liger	Liger
Emathion	Emathion
Lucetius	Lucetius
piece_broken_off	fragmen
fracture	fragmen
pleasantness	lepor
without_glory	inglorius
Licymnia	Licymnia
Helenor	Helenor
run_through	transfodio
dig_through	transfodio
consume	adedo
capture	expugno
assault	expugno
Calliope	Calliope
_gifts_thrown_crowd	missile
projectile	missile
missile	missile
open	interluceo
give_light_through	interluceo
Actor	Actor
numb	torpeo
hastening	festinus
that_which_makes_known	nuntius
announcing	nuntius
winged	pennatus
very_much	nimis
Numa	Numa
dwell_near_or_by	accolo
stab	confodio
whirl_about	roto
move_like_wheel	roto
push	proturbo
vexed	gravor
burdened	gravor
rain	pluvia
become_faint	languesco
cut	succido
cut_beneath	succido
sink_down	recumbo
lie_down_again	recumbo
drive_through	transadigo
Tagus	Tagus
gasp	singultus
Sulmo	Sulmo
cupola	tholus
Hyrtacus	Hyrtacus
Latonian	Latonius
of_Latona	Latonius
much_entangled	perplexus
not_seeing_or_knowing_beforehand	imprudens
parting	divortium
separation	divortium
lurid	sublustris
faintly_gleaming	sublustris
Volcens	Volcens
armed_with_shield	scutatus
Caedicus	Caedicus
distant	absens
absent	absens
Remulus	Remulus
of_Tibur	Tiburs
boss	bulla
amulet	bulla
locket	bulla
bubble	bulla
complete	perfectus
excessive	nimius
Abaris	Abaris
Rhoetus	Rhoetus
Herbesus	Herbesus
Fadus	Fadus
common_people	plebs
rave	perfuro
rage_wildly	perfuro
mute	mutus
inarticulate	mutus
insane	vesanus
unfed	impastus
Lamus	Lamus
Lamyrus	Lamyrus

make_tepid_or_warm	tepefacio
sob	singulto
rashly	temere
breathe_forth_noisily	proflo
blow	proflo
Rhamnes	Rhamnes
pluck_asunder	discerpo
foremost	primoris
first	primoris
exchange	permuto
Lycaon	Lycaon
weep	inlacrimo
not_saluted	insalutatus
dissimilar	dissimilis
6th	sex
6	sex
red	rubeo
Arisba	Arisba
conquer_completely	devinco
immediately	actutum
promptly	actutum
destroy	deleo
leading_two_ways	bivius
immediately	confestim
pursue	persequor
sacrifices/rites_in_honor_of_the_dead	inferiae
buy	emo
free_from_roughness	erudio
train	erudio
instruct	erudio
Opheltes	Opheltes
pertaining_Pallanteum	Pallanteus
summon	accio
unshorn	intonsus
unshaven	intonsus
on_guard	excubo
lie_out	excubo
without_sleep	insomnis
adorn_with_various_colors	vario
diversify	vario
vary	vario
100_each	centeni
set_before	obsido
refresh	procuro
attend_to	procuro
care_for	procuro
get_ready	apparo
injure	pecco
commit_wrong	pecco
fertile	fertilis
productive	fertilis
in_view_of	prae
in_the_face_of	prae
before	prae
plunge	demergo
dip	demergo
shine_against	offulgeo
pitch	pix
Galatea	Galatea
Doto	Doto
Nereian	Nereius
of_Nereus	Nereius
heavens	mundus
universe	mundus
world	mundus
disquieted	anxius
troubled	anxius
shape	formo
form	formo
lasting_throughout_the_year	perennis
protection	praesentia
presence	praesentia
fortification	vallum
fired	ignesco
take_fire	ignesco
bleating	balatus
endure	perpetior
bear_the_end	perpetior
an_opening	caulae
sheepcote	ovile
ambush	insidior
swing_or_hurl	attorqueo
Ganges	Ganges
soothe	sedo
Etruscan	Lydus
Lydian	Lydus
dwelling_on_the_Palatine_hill	Palatinus
belonging_to	Palatinus
Thaumantias	Thaumantias
Pilumnus	Pilumnus
Araxes	Araxes
Dahae	Dahae
two_horned	bicornis
Rhine	Rhenus
people_of_Belgic_Gaul	Morinus
of_or_from_the_Morini	Morinus
Euphrates	Euphrates
Gelonian_or_Scythian	Gelonus
arrow_bearing	sagittifer
of_Cariin_the_southwestern_part_of_AsiMinor	Car
Carian	Car
Leleges	Leleges
an_inhabitant_of_Africa	Afer
African	Afer
Mulciber	Mulciber
ungird	discingo
examine	recognosco
Iapyx	Iapyx
Arab	Arabs
Anubis	Anubis
barker	latrator
one_who_barks_like_dog	latrator
of_every_kind	omnigenus
of_all_sorts	omnigenus
metallic_rattle	sistrum
Egyptian	Aegyptius
Bactra	Bactra
Egypt	Aegyptos
red	ruber
Antonius	Antonius
beaked	rostratus
Agrippa	Agrippa
overhanging	minax
projecting	minax
Catilina	Catilina
chariot	pilentum
beat_out	extundo
Luperci	Luperci
Gallic_javelin	gaesum
milky	lacteus
soldier's_cloak	sagulum
made_of_twigs	virgatus
goose	anser
_silver	argenteus
stalk	culmus
Manlius	Manlius
Cloelia	Cloelia
Cocles	Cocles
bridge	pons
Porsenn	Porsenna
thorn	vepres
Mettus	Mettus
sow	porca
pig	porca
Tatius	Tatius
Romans	Romulidae
descendants_or_people_of_Romulus	Romulidae
games_in_the_Circus	circensis
not_afraid	impavidus
texture	textum
that_which_is_woven_or_plaited	textum
that_can_expressed	enarrabilis
become_glowing	inardesco
take_fire	inardesco
fatal	fatifer
separate	secerno
tepid	egelidus
lukewarm	egelidus
Silvanus	Silvanus
Caere	Caere
hoof	ungula
foul_smelling	putris
fetid	putris
going_on_four_feet	quadrupedans
dusty	pulvereus
cavalry	equitatus
wound	vulnero
who_or_what_you_please	quivis
deprive	viduo
Erulus	Erulus
unsatisfied	inexpletus
double	duplico
fold_over	duplico
shine_or_glitter_at_the_end	praefulgeo
an_announcement	nuntium
yesterday's	hesternus
of_yesterday	hesternus
surely	profecto
gleam	rutilo
redden	rutilo
dry	sudus
unexpectedly	improviso
military_service	militia
frost	gelu
Tarcho	Tarcho
fasten	subiungo
join_under_or_to	subiungo
Maeonia	Maeonia
diviner	haruspex
an_inspector_of_entrails	haruspex
present	praesum
before	praesum
Tuscany	Etruria
Etruria	Etruria
surround	circumsisto
kill	neco
torture	tormentum
dead	mortuus
Tuscan	Etruscus
Etrurian	Etruscus
raise_din_around	circumsono
sound_about	circumsono
Etruscan	Tuscus
Tuscan	Tuscus
Etrurian	Tuscus
saved	sospes
allowed	licitus
go_before	praecedo
bend_back	retorqueo
twist_back	retorqueo
panther	panthera
bind	subligo
bind_under	subligo
tunic	tunica
morning	matutinus
of_or_belonging_the_morning	matutinus
Lemnius	Lemnius
lump	massa
pair_of_tongs	forceps
the_bellows	follis
pair_of_bellows	follis
melt	liquesco
become_fluid_or_liquid	liquesco
steel	chalybs
wound_making	vulnificus
mistress	magistra
cut_off	deseco
fasten_together	conecto
fear_bringing	horrifer
red_and_gold	rutilus
unfinished	imperfectus
smooth	polio
mold	informo
impart_form_to	informo
Pyracmon	Pyracmon
Steropes	Steropes
Brontes	Brontes
pertaining_Vulcan	Vulcanius
Chalybes	Chalybes
mass_or_bar_of_hot_iron	strictura
Lipare_or_Lipar	Lipare
skillfully_made	fabrilis
having_power_over_fire	ignipotens
allotment	pensum
wool	pensum
endure	tolero
career	curriculum
drive_off_or_away_from	abigo
doubt	indubito
mixed_metal_of_the_color_of_amber	electrum
amber	electrum
bind	devincio
bind_fast	devincio
of_Tithonus	Tithonius
born	natus
Laurentes	Laurentes
Carinae	Carinae
neat	lautus
washed	lautus
Ianiculum	Ianiculum
town	oppidum
the_goatskin_shield_of_Jupiter_or_Minerva	aegis
pastoral	silvestris
pertaining_the_woods	silvestris
Capitoline	Tarpeius
Tarpeian	Tarpeius
Argiletum	Argiletum
Lycaean	Lycaeus
of_Lycaeus	Lycaeus
Pan	Pan
of_Parrhasia	Parrhasius
Lupercal	Lupercal
of_Carmentis	Carmentalis
Carmentis	Carmentis
Albula	Albula
of_debased_color	decolor
worse	deterior
unteachable	indocilis
born_in_the_land	indigena
founder	conditor
throw_to	adicio
Lernaean	Lernaeus
of_Lerna	Lernaeus
Typhoeus_or_Typhon	Typhoeus
Nemea	Nemea
Pholus	Pholus
Hylaeus	Hylaeus
having_two_types_of_limbs	bimembris
Eurystheus	Eurystheus
Oechali	Oechalia
Salii	Salii
charger	lanx
broad_dish_or_plate	lanx
declining	devexus
cup	scyphus
wreath_of_poplar	populus
poplar_tree	populus
of_Pinarius	Pinarius
Potitius	Potitius
half_wild	semifer
dead_body	cadaver
pillage	rapina
plundering	rapina
robbery	rapina
swear_off	abiuro
drag_away	abstraho
squeeze	ango
smoky	fumifer
vomit_out_or_up	evomo

millstone	molaris
uncover	detego
spring_back_or_apart	dissulto
leap_asunder	dissulto
impulse	impulsus
an_impelling	impulsus
convenient	opportunus
suitable	opportunus
abrupt	praecisus
rocky	saxeus
barrier	obex
an_obstacle	obex
make_strong	emunio
fortify	emunio
gall	fel
the_gall_bladder	fel
guard	custodio
departure	abitus
young	iuvencus
untried	intractatus
untouched	intractatus
at_length	aliquando
at_some_time	aliquando
reek	tepeo
moderately_warm	tepeo
Cacus	Cacus
half_man	semihomo
recess	recessus
superstition	superstitio
religious_awe	superstitio
expiatory	lustralis
hairy	villosus
shaggy	villosus
interweave	intertexo
Pheneos	Pheneos
desirous	cupidus
Arcadia	Arcadia
Salamis	Salamis
Hesione	Hesione
proved	spectatus
tested	spectatus
below	infra
wash_against	adluo
pertaining_Daunus	Daunius
contract_for	pango
agree_upon	pango
settle_for	pango
fix	pango
fasten	pango
approach	temptamentum
experiment	temptamentum
essay	temptamentum
trial	temptamentum
envoy	legatus
lieutenant	legatus
Cyllene	Cyllene
Atlantis	Atlantis
Electra	Electra
afraid	extimesco
cling_to	inhaereo
stick_to	inhaereo
peace_bringing	pacifer
Hercules	Amphitryoniades
son_of_Amphitruo	Amphitryoniades
the_act_of_bending_or_curling	flexus
