sevenfold	septemplex
separate	secerno
tepid	egelidus
lukewarm	egelidus
silvanus	silvanus
caere	caere
hoof	ungula
fetid	putris
dusty	pulvereus
cavalry	equitatus
wound	vulnero
deprive	viduo
erulus	erulus
unsatisfied	inexpletus
double	duplico
yesterdays	hesternus
surely	profecto
gleam	rutilo
redden	rutilo
dry	sudus
unexpectedly	improviso
frost	gelu
tarcho	tarcho
fasten	subiungo
maeonia	maeonia
diviner	haruspex
present	praesum
before	praesum
tuscany	etruria
etruria	etruria
surround	circumsisto
kill	neco
torture	tormentum
dead	mortuus
tuscan	etruscus
etrurian	etruscus
etruscan	tuscus
tuscan	tuscus
etrurian	tuscus
saved	sospes
allowed	licitus
panther	panthera
bind	subligo
tunic	tunica
morning	matutinus
lemnius	lemnius
lump	massa
melt	liquesco
steel	chalybs
mistress	magistra
unfinished	imperfectus
smooth	polio
mold	informo
pyracmon	pyracmon
steropes	steropes
brontes	brontes
chalybes	chalybes
allotment	pensum
wool	pensum
endure	tolero
career	curriculum
doubt	indubito
amber	electrum
bind	devincio
born	natus
laurentes	laurentes
carinae	carinae
neat	lautus
washed	lautus
ianiculum	ianiculum
town	oppidum
pastoral	silvestris
capitoline	tarpeius
tarpeian	tarpeius
argiletum	argiletum
lycaean	lycaeus
pan	pan
lupercal	lupercal
carmentis	carmentis
albula	albula
worse	deterior
unteachable	indocilis
founder	conditor
lernaean	lernaeus
nemea	nemea
pholus	pholus
hylaeus	hylaeus
eurystheus	eurystheus
oechali	oechalia
salii	salii
charger	lanx
declining	devexus
cup	scyphus
potitius	potitius
pillage	rapina
plundering	rapina
robbery	rapina
squeeze	ango
smoky	fumifer
millstone	molaris
uncover	detego
impulse	impulsus
convenient	opportunus
suitable	opportunus
abrupt	praecisus
rocky	saxeus
barrier	obex
fortify	emunio
gall	fel
guard	custodio
departure	abitus
young	iuvencus
untried	intractatus
untouched	intractatus
reek	tepeo
cacus	cacus
recess	recessus
superstition	superstitio
expiatory	lustralis
hairy	villosus
shaggy	villosus
interweave	intertexo
pheneos	pheneos
desirous	cupidus
arcadia	arcadia
salamis	salamis
hesione	hesione
proved	spectatus
tested	spectatus
below	infra
fix	pango
fasten	pango
approach	temptamentum
experiment	temptamentum
essay	temptamentum
trial	temptamentum
envoy	legatus
lieutenant	legatus
cyllene	cyllene
atlantis	atlantis
electra	electra
afraid	extimesco
hercules	amphitryoniades
wave	flexus
curl	flexus
oiled	unctus
anointed	unctus
toil	luctamen
striving	luctamen
ripe	mitis
mild	mitis
horned	corniger
detriment	incommodum
pallanteum	pallanteum
euander	evander
pallas	pallas
arcas	arcas
swelling	tumor
carry	reveho
dark	umbrosus
shady	umbrosus
flash	radio
reflect	repercutio
bowl	labrum
venulus	venulus
worshipper	cultor
husbandman	cultor
conspire	coniuro
workbasket	calathus
distaff	colus
camilla	camilla
volscian	volscus
satura	satura
feronia	feronia
sacranus	sacranus
ancestors	veteres
thicken	denseo
argus	argus
argument	argumentum
evidence	argumentum
proof	argumentum
adorn	insignio
io	io
phoebigena	phoebigena
inventor	repertor
discoverer	repertor
paeonius	paeonius
stepmother	noverca
appeasable	placabilis
egeria	egeria
arici	aricia
virbius	virbius
hippolytus	hippolytus
fucinus	fucinus
glassy	vitreus
anguitia	anguitia
marsian	marsus
able	evalesco
umbro	umbro
shot	missus
archippus	archippus
aequian	aequiculus
hunting	venatus
ufens	ufens
nersae	nersae
mountainous	montosus
form	ritus
teutonic	teutonicus
abella	abella
celemna	celemna
batulum	batulum
rufrae	rufrae
sarnus	sarnus
sarrastes	sarrastes
capreae	capreae
teleboae	teleboae
sebethis	sebethis
telon	telon
oebalus	oebalus
unmentioned	indictus
crooked	falcatus
hooked	falcatus
oscan	oscus
saticulus	saticulus
vulturnus	vulturnus
neighbor	accola
shallow	vadosus
cales	cales
halaesus	halaesus
hermus	hermus
allia	allia
nursia	nursia
fabaris	fabaris
himella	himella
casperia	casperia
severus	severus
tetrica	tetrica
mutusc	mutusca
eretum	eretum
tribe	tribus
clausus	clausus
food	pastus
fodder	pastus
pasture	pastus
ciminus	ciminus
soracte	soracte
falisci	falisci
fescennine	fescenninus
messapus	messapus
bluish	liveo
anagnia	anagnia
anio	anio
praeneste	praeneste
legion	legio
caeculus	caeculus
founder	fundator
othrys	othrys
homole	homole
coras	coras
catillus	catillus
tiburtus	tiburtus
untrimmed	impexus
uncombed	impexus
pike	dolo
javelin	pilum
spanish	hiberus
iberian	hiberus
tirynthian	tirynthius
geryon	geryon
laurentian	laurentius
woman	mulier
rhea	rhea
aventinus	aventinus
conqueror	debellator
lausus	lausus
mezentius	mezentius
despiser	contemptor
helicon	helicon
forge	fornax
furnace	fornax
recast	recoquo
plowshare	vomer
greave	ocrea
corselet	thorax
hurdle	crates
antemnae	antemnae
tibur	tibur
atina	atina
whetstone	cos
grease	arvina
clean	tergeo
wipe	tergeo
quiet	inexcitus
dormant	inexcitus
blow	conspiro
open	resero
unbolt	resero
lever	vectis
parthian	parthus
arabian	arabus
arab	arabus
getae	getae
sacrilegious	sacrilegus
will	nutus
nod	nutus
seaweed	alga
overthrow	perverto
overturn	perverto
conjure	obtestor
cave	specus
roaring	fragosus
crashing	fragosus
ampsanctus	ampsanctus
famous	nobilis
illustrious	nobilis
freely	licenter
enough	abunde
sufficiently	abunde
besprinkle	respergo
friendship	amicitia
stain	imbuo
wet	imbuo
permeate	imbuo
drench	imbuo
bleat	balo
fifth	quinque
five	quinque
galaesus	galaesus
almo	almo
cloud	nubilum
darkness	nubilum
palisade	sudes
stake	sudes
trumpet	bucina
venilus	velinus
nar	nar
sulphureous	sulphureus
tremble	contremo
meet	nanciscor
obtain	nanciscor
wildly	immane
burnt	obustus
brand	torris
firebrand	torris
distinguished	eximius
exceptional	eximius
green	virido
comb	pecto
decorate	orno
equip	orno
silvia	silvia
tyrrheus	tyrrheus
nourish	nutrio
encourage	exhortor
abound	exubero
supply	suggero
noise	sonor
flaming	flammeus
fiery	flammeus
hiss	sibilo
openly	palam
dowry	dos
endowment	dos
gift	dos
calybe	calybe
wrinkle	ruga
arde	ardea
danae	danae
dusky	fuscus
dark	fuscus
endure	sustineo
sustain	sustineo
woo	euhoe
lashing	plaga
wound	plaga
blow	plaga
spinning	volubilis
turning	volubilis
craze	lympho
raging	furialis
acrisius	acrisius
inachus	inachus
free	liber
lacedaemon	lacedaemon
robber	praedo
greatly	multa
much	multa
winding	tortilis
twisted	tortilis
touch	attactus
touching	attactus
cook	coquo
amata	amata
gorgonian	gorgoneus
work	opera
sprout	pullulo
plu	pluto
allecto	allecto
deadly	funestus
cisseis	cisseis
bellona	bellona
endow	doto
commodity	merces
wages	merces
pay	merces
unattempted	inausus
calydon	calydon
destroy	perdo
satisfy	exsaturo
phryx	phryx
inachian	inachius
produce	creo
create	creo
illegitimate	nothus
skillful	daedalus
artificial	daedalus
tapestry	tapetum
select	eligo
divine	auguro
wealth	opulentia
unmoved	immobilis
tiara	tiara
turban	tiara
headband	tiara
decay	abolesco
disgraceful	indecor
harmless	innocuus
performance	actus
thronging	effusus
overflowing	effusus
samothracia	samothracia
phrygia	phrygia
auruncan	auruncus
ianus	ianus
sabine	sabinus
italus	italus
court	curia
ancestral	avitus
train	domito
tame	domito
youthful	primaevus
eldest	primaevus
wing	pinna
feather	pinna
ditch	fossa
holy	augustus
speaker	orator
numicus	numicus
invoke	invoco
sport	adludo
wide	patulus
opening	patulus
crust	crustum
want	penuria
fruit	pomum
cake	libum
return	recurro
supported	effultus
conversation	colloquium
poisonous	mephitis
albunea	albunea
prophetic	fatidicus
smoking	fumidus
swarm	examen
multitude	examen
interchangeable	examen
fear    mutuus
terror  mutuus
connect	adiungo
palace	regia
grandfather	atavus
turnus	turnus
marriageable	nubilis
picus	picus
marica	marica
faunus	faunus
position	status
erato	erato
yellowish	luteus
blazing	fervidus
except	praeter
beyond	praeter
past	praeter
bear	ursus
clever	argutus
clear	argutus
cedar	cedrus
daughter	filia
trembling	tremulus
shine	splendeo
direct	rectus
straight	rectus
caieta	caieta
latinus	latinus
spur	calcar
dig	fodio
romulean	romulus
offspring	propago
around	circa
rebellious	rebellis
warring	rebellis
gaul	gallus
marcellus	marcellus
passage	meatus
going	meatus
sweetly	molliter
gently	molliter
softly	molliter
mollius	molliter
restore	restituo
maximus	maximus
fabius	fabius
serranus	serranus
fabricius	fabricius
gracchus	gracchus
cossus	cossus
ca	cato
defile	temero
desecrate	temero
violate	temero
corinth	corinthus
triumph	triumpho
monoecus	monoecus
camillus	camillus
torquatus	torquatus
drusus	drusus
decii	decii
whenever	utcumque
however	utcumque
freedom	libertas
consul	consul
burden	fascis
bundle	fascis
brutus	brutus
tarquinius	tarquinius
public	popularis
ancus	ancus
arrogant	iactans
tullus	tullus
cures	cures
nys	nysa
dionysus	liber
bacchus	liber
quiet	paco
nilus	nilus
sevenfold	septemgeminus
caspian	caspius
indian	indus
saturnus	saturnus
augustus	augustus
berecyntius	berecyntius
heart   cor
bola	bola
fidena	fidena
gabii	gabii
nomentum	nomentum
numitor	numitor
procas	proca
lavinia	lavinia
silvius	silvius
bright	illustris
assembly	conventus
naive	simplex
artless	simplex
bodily	corporeus
utterly	funditus
completely	funditus
earthen	terrenus
hurtful	noxius
guilty	noxius
vigor	vigor
activity	vigor
liveliness	vigor
drink	poto
oblivion	oblivium
murmur	strepo
lily	lilium
countless	innumerus
sequestered	seclusus
moisten	rigo
reckon	recenseo
dwell	incolo
inhabit	incolo
meadow	pratum
musaeus	musaeus
refine	excolo
eridanus	eridanus
scallop	pecten
comb	pecten
clothe	vestio
brothel	fornix
vault	fornix
phlegyas	phlegyas
draw	distringo
adultery	adulterium
wealth	divitia
riches	divitia
dependent	cliens
client	cliens
rise	exsurgo
royal	regificus
magnificent	regificus
support	fulcrum
genial	genialis
like	adsimilis
ixion	ixion
lapitha	lapitha
reproduced	renascor
fiber	fibra
immortal	immortalis
hooked	obuncus
vulture	vultur
tityos	tityos
smoky	fumeus
tramp	pulsus
imitate	imitor
salmoneus	salmoneus
cancel	rescindo
titanian	titanius
snake	hydra
prisoner	custodia
protection	custodia
custody	custodia
guilty	sons
hurtful	sons
differ	differo
divulge	differo
scatter	differo
rhadamanthus	rhadamanthus
fetter	catena
chain	catena
sleepless	exsomnis
tisiphone	tisiphone
elysian	elysius
slaughter	strages
nostril	naris
ignominious	inhonestus
dishonorable	inhonestus
barbarously	crudeliter
cruelly	crudeliter
lacerate	lanio
yawn	hio
frustrate	frustror
move	confero
transfer	confero
collect	confero
idaeus	idaeus
polyboetes	polyboetes
antenorides	antenorides
thersilochus	thersilochus
medon	medon
doomed	caducus
adrastus	adrastus
parthenopaeus	parthenopaeus
tydeus	tydeus
former	pristinus
shady	umbrifer
departure	discessus
able	queo
rugged	sentus
thorny	sentus
shape	figura
form	figura
caeneus	caeneus
laodamia	laodamia
evadne	evadne
eriphyl	eriphyla
procris	procris
phaedra	phaedra
consume	peredo
melting	tabes
control	coerceo
enclose	coerceo
unlovely	inamabilis
poverty	pauperies
hate	perodi
minos	minos
investigation	quaesitor
juror	iudex
judge	iudex
wailing	vagitus
throat	guttur
windpipe	guttur
mouthful	offa
dye	medico
medicate	medico
treat	medico
cerberus	cerberus
abandon	expono
dark	glaucus
slime	limus
mud	limus
leaky	rimosus
cavity	alveus
venerable	venerabilis
uncle	patruus
bark	latro
eternally	aeternum
continually	aeternum
amphrysius	amphrysius
attempt	adorior
attack	adorior
pirithous	pirithous
convey	vecto
drowsy	soporus
rattle	increpo
serious	severus
mother	creatrix
velian	velinus
unconquered	invictus
agreeable	iucundus
delightful	iucundus
pleasant	iucundus
savage	violentus
violent	violentus
deceive	deludo
stormy	ventosus
windy	ventosus
leucaspis	leucaspis
admit	admitto
envious	lividus
bluish	lividus
remove	summoveo
fall	autumnus
rowboat	cumba
sordid	sordidus
dirty	sordidus
hoariness	canities
charon	charon
foulness	squalor
ferryman	portitor
carrier	portitor
fret	aestuo
seethe	aestuo
burn	aestuo
chasm	vorago
dirt	caenum
tartarean	tartareus
skilled	doctus
learned	doctus
taught	doctus
fearfully	horrendum
lerna	lerna
beast	belua
briareus	briareus
hundredfold	centumgeminus
stay	stabulo
viperous	vipereus
dissention	discordia
disagreement	discordia
deadly	mortifer
want	egestas
need	egestas
poverty	egestas
desperate	malesuadus
disease	morbus
sickness	morbus
dip	mergo
phlegethon	phlegethon
timid	timidus
cowardly	timidus
hesitant	timidus
need	opus
profane	profanus
begin	incoho
knife	culter
plowshare	culter
sacrifice	libamen
libation	libamen
bristle	saeta
bird	volans
throat	hiatus
gaping	hiatus
quick	properus
corynaeus	corynaeus
absorbent	bibulus
oil	olivum
burn	cremo
ministry	ministerium
service	ministerium
bier	feretrum
hot	calidus
warm	calidus
adorn	decoro
plant	semino
green	vireo
wintry	brumalis
perch	sido
aromatic	olens
go	prodeo
shade	opaco
truly	vere
smite	ico
foaming	spumosus
shellfish	concha
lower	inferior
inhume	humo
interweave	sero
result	eventus
styx	styx
decision	consultum
decree	consultum
defile	incesto
trace	vestigo
track	vestigo
metal	metallum
mine	metallum
crop	decerpo
partitive	opertum
valley	convallis
surround	circumvenio
cocytus	cocytus
descent	descensus
theseus	theseus
purchase	redimo
pollux	pollux
harmonious	canorus
orpheus	orpheus
marsh	palus
advise	praecipio
anticipate	praecipio
spur	stimulus
prick	stimulus
resound	remugio
venturing	audens
complete	defungor
finish	defungor
raging	rabidus
mad	rabidus
savage	rabidus
raving	rabidus
mockery	ludibrium
mocking	ludibrium
educate	instituo
equip	instituo
undertake	instituo
prescient	praescius
foreknowing	praescius
survey	obeo
visit	obeo
adorn	como
arrange	como
flock	grex
herd	grex
spectacle	spectaculum
deiphobe	deiphobe
icarus	icarus
string	filum
thread	filum
in	insum
minotaurus	minotaurus
pasiphae	pasiphae
substitute	suppo
put	suppo
urn	urna
weigh	pendo
chalcidian	chalcidicus
arctos	arctos
unaccustomed	insuetus
daedalus	daedalus
trivia	trivia
secret	secretum
seed	semen
cumae	cumae
euboean	euboicus
float	fluito
sirenes	sirenes
unexpected	inopinus
drug	soporo
dew	ros
lethean	lethaeus
oblivious	lethaeus
false	fallax
treacherous	fallax
deceitful	fallax
ignore	ignoro
steal	furor
iasides	iasides
word	loquela
speech	loquela
talking	loquela
phorbas	phorbas
dream	somnium
murky	tenebrosus
dark	tenebrosus
left	sinister
cymodoce	cymodoce
thalia	thalia
spio	spio
nisaee	nisaee
melite	melite
thetis	thetis
palaemon	palaemon
glaucus	glaucus
thundering	tonans
calm	permulceo
stroke	permulceo
avernus	avernus
drive	impingo
tamer	domitor
laurentine	laurens
foully	foede
shamefully	foede
witness	testis
annihilate	perimo
break	infringo
soothe	mitigo
kindred	consanguineus
endurable	tolerabilis
idalian	idalius
forum	forum
plough	aratrum
arrange	designo
vigorous	vividus
lively	vividus
boat	navigium
enroll	transcribo
communicate	edoceo
summon	arcesso
fetch	arcesso
lar	lar
gasping	anhelus
panting	anhelus
elysium	elysium
charming	amoenus
conflict	congressus
subdue	debello
gathered	lectus
expel	depello
acesta	acesta
nautes	nautes
drip	madesco
height	arduum
emit	edo
hostile	exosus
useful	prosum
